id,date,barangay,crime_type,crime_count,latitude,longitude,month_year,year,month
3172,2020-01-01,BARANGAY 3-A (POB.),Homicide,5,7.0780709793955685,125.66604946184069,2020-01,2020,1
690,2020-01-01,"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",Carnapping,4,7.056113124567257,125.69273364556469,2020-01,2020,1
1674,2020-01-01,"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",Phishing,4,7.241777620035286,125.4942486191511,2020-01,2020,1
3130,2020-01-02,BARANGAY 13-B,Online Scam,2,7.251547550152908,125.68353673462347,2020-01,2020,1
238,2020-01-02,40-D BOLTON ISLA,Physical Injury,2,7.007294789929436,125.62995819486648,2020-01,2020,1
507,2020-01-02,PAQUIBATO (POB.),Vandalism,3,7.273278155348152,125.62038249021316,2020-01,2020,1
1977,2020-01-02,BARANGAY 27-C,Physical Injury,4,7.077789027659732,125.41495804391975,2020-01,2020,1
2797,2020-01-02,"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",Robbery,4,7.021924468608105,125.68848343267634,2020-01,2020,1
3056,2020-01-03,76-A (BUCANA),Assault,2,7.290561199509968,125.43592403655016,2020-01,2020,1
3593,2020-01-03,"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",Phishing,5,7.170318195379316,125.61747382398734,2020-01,2020,1
976,2020-01-03,PAMPANGA,Cyber Fraud,2,7.078679213289948,125.5340179406108,2020-01,2020,1
838,2020-01-04,VICENTE HIZON SR.,Illegal Drugs,3,7.10871816973499,125.524054959087,2020-01,2020,1
3116,2020-01-04,MAGSAYSAY,Carnapping,4,7.263241013996344,125.67242510611796,2020-01,2020,1
3220,2020-01-04,BAYABAS,Vandalism,2,7.219720314717514,125.67367636833036,2020-01,2020,1
510,2020-01-04,BARANGAY 13-B,Robbery,2,7.217715852516508,125.68244227125182,2020-01,2020,1
837,2020-01-05,"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",Online Scam,4,7.27445377032043,125.513208953039,2020-01,2020,1
3924,2020-01-05,BARANGAY 28-C,Homicide,2,7.079778535189636,125.4238764442116,2020-01,2020,1
3288,2020-01-05,"WAAN (BRGY UNDER ps 13, DCPO)",Theft,1,7.2410612978387805,125.48505215708128,2020-01,2020,1
41,2020-01-05,"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",Robbery,1,7.036611470453433,125.65983046361336,2020-01,2020,1
3730,2020-01-06,"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",Homicide,2,7.178563850238063,125.56271596805712,2020-01,2020,1
2811,2020-01-06,MINTAL,Physical Injury,5,7.074202094745725,125.6321985261882,2020-01,2020,1
2660,2020-01-06,SUAWAN (TULI),Vandalism,4,7.197206044651039,125.48885302966772,2020-01,2020,1
2451,2020-01-06,"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",Identity Theft,4,7.081074307639235,125.65232885118483,2020-01,2020,1
226,2020-01-06,BINUGAO,Hacking,5,7.0731968930137255,125.61906651532718,2020-01,2020,1
